step_idx,timestamp,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w,dvl_vel_x,dvl_vel_y,dvl_vel_z,dvl_alt,imu_orient_x,imu_orient_y,imu_orient_z,imu_orient_w,imu_gyro_x,imu_gyro_y,imu_gyro_z,imu_accel_x,imu_accel_y,imu_accel_z
30,34.330,-9.482,6.034,7.069,-0.022,-0.013,0.193,0.981,-0.027,0.574,-0.066,14.000,-0.022,-0.013,0.193,0.981,-0.011,-0.006,0.027,-0.178,0.468,-9.804
31,35.467,-9.712,6.641,7.102,-0.022,-0.013,0.208,0.978,-0.024,0.574,-0.049,14.638,-0.022,-0.013,0.208,0.978,-0.001,0.002,0.027,-0.181,0.483,-9.809
32,36.636,-9.970,7.262,7.106,-0.017,-0.011,0.220,0.975,-0.021,0.579,-0.014,14.759,-0.017,-0.011,0.220,0.975,0.005,-0.002,0.021,-0.155,0.380,-9.825
33,37.438,-10.159,7.686,7.090,-0.016,-0.012,0.228,0.973,-0.019,0.583,0.002,14.934,-0.016,-0.012,0.228,0.973,-0.002,-0.002,0.022,-0.173,0.359,-9.817
34,38.173,-10.338,8.070,7.073,-0.024,-0.014,0.238,0.971,-0.020,0.583,-0.009,15.079,-0.024,-0.014,0.238,0.971,0.020,-0.001,0.028,-0.179,0.515,-9.791
35,38.975,-10.541,8.487,7.057,-0.024,-0.015,0.249,0.968,-0.022,0.582,-0.014,15.100,-0.024,-0.015,0.249,0.968,-0.002,-0.002,0.030,-0.177,0.526,-9.782
36,39.711,-10.735,8.864,7.050,-0.023,-0.015,0.259,0.965,-0.023,0.580,-0.025,14.174,-0.023,-0.015,0.259,0.966,0.000,-0.002,0.030,-0.182,0.519,-9.782
37,40.847,-10.769,9.376,7.062,-0.021,0.022,0.275,0.961,-0.317,0.306,-0.035,14.971,-0.021,0.022,0.275,0.961,0.013,0.033,0.021,0.717,0.093,-9.780
38,41.983,-10.457,9.827,7.085,-0.016,0.009,0.281,0.960,-0.476,0.132,-0.043,14.997,-0.016,0.009,0.281,0.960,0.003,-0.019,0.006,0.327,0.169,-9.797
39,43.119,-10.006,10.230,7.109,-0.018,0.019,0.282,0.959,-0.554,0.059,-0.042,13.719,-0.018,0.019,0.282,0.959,0.001,0.023,-0.000,0.504,0.190,-9.802
