step_idx,timestamp,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w,dvl_vel_x,dvl_vel_y,dvl_vel_z,dvl_alt,imu_orient_x,imu_orient_y,imu_orient_z,imu_orient_w,imu_gyro_x,imu_gyro_y,imu_gyro_z,imu_accel_x,imu_accel_y,imu_accel_z
0,0.000,-0.020,-0.002,1.688,-0.000,0.001,-0.125,0.992,0.000,-0.000,-0.088,6.871,-0.000,0.001,-0.125,0.992,0.000,0.000,-0.000,0.024,0.005,-9.806
1,0.501,-0.006,-0.007,1.732,-0.010,0.007,-0.126,0.992,-0.040,0.001,-0.088,6.846,-0.010,0.007,-0.126,0.992,-0.095,0.054,-0.000,0.451,0.236,-9.802
2,0.969,0.075,-0.028,1.774,-0.008,0.025,-0.125,0.992,-0.239,-0.003,-0.090,7.038,-0.008,0.025,-0.125,0.992,0.043,0.080,0.000,0.749,0.221,-9.792
3,1.470,0.231,-0.067,1.848,-0.007,0.024,-0.110,0.994,-0.338,0.006,-0.212,7.123,-0.007,0.024,-0.110,0.994,-0.018,-0.106,0.114,0.667,0.186,-9.331
4,2.005,0.452,-0.117,2.039,-0.010,-0.005,-0.084,0.996,-0.432,-0.016,-0.421,6.503,-0.010,-0.005,-0.084,0.996,0.006,-0.050,0.083,-0.093,0.218,-9.544
5,2.473,0.651,-0.155,2.265,-0.009,-0.001,-0.067,0.998,-0.441,-0.021,-0.490,6.308,-0.009,-0.001,-0.067,0.998,0.003,0.062,0.065,-0.040,0.202,-9.711
6,2.975,0.862,-0.190,2.514,-0.009,0.019,-0.059,0.998,-0.423,-0.025,-0.460,6.247,-0.009,0.019,-0.059,0.998,-0.009,0.084,-0.006,0.401,0.213,-10.037
7,3.476,1.084,-0.222,2.719,-0.008,0.034,-0.057,0.998,-0.433,-0.016,-0.426,7.231,-0.008,0.034,-0.057,0.998,0.002,0.037,0.026,0.734,0.207,-9.812
8,4.010,1.338,-0.254,2.936,-0.008,0.033,-0.046,0.998,-0.460,-0.015,-0.456,6.994,-0.008,0.033,-0.046,0.998,-0.002,-0.047,0.049,0.665,0.197,-9.702
9,4.512,1.587,-0.280,3.157,-0.009,0.020,-0.034,0.999,-0.475,-0.018,-0.473,6.729,-0.009,0.021,-0.035,0.999,-0.002,-0.040,0.042,0.398,0.201,-9.766
10,5.013,1.836,-0.303,3.372,-0.010,0.018,-0.031,0.999,-0.487,-0.020,-0.415,6.417,-0.010,0.018,-0.031,0.999,-0.005,0.020,-0.005,0.386,0.213,-9.979
11,5.515,2.091,-0.323,3.549,-0.009,0.027,-0.030,0.999,-0.501,-0.014,-0.368,6.311,-0.009,0.027,-0.030,0.999,0.001,0.035,0.013,0.572,0.207,-9.853
12,5.982,2.340,-0.340,3.696,-0.009,0.033,-0.029,0.999,-0.527,-0.012,-0.327,6.177,-0.009,0.033,-0.029,0.999,-0.002,0.013,-0.004,0.700,0.209,-9.896
13,6.517,2.641,-0.359,3.843,-0.009,0.033,-0.027,0.999,-0.551,-0.008,-0.310,6.643,-0.009,0.033,-0.027,0.999,0.000,0.003,0.018,0.701,0.201,-9.781
14,6.985,2.917,-0.375,3.976,-0.009,0.034,-0.020,0.999,-0.577,-0.010,-0.338,6.384,-0.009,0.034,-0.020,0.999,-0.001,-0.003,0.034,0.682,0.197,-9.702
15,7.519,3.239,-0.392,4.134,-0.010,0.032,-0.017,0.999,-0.584,-0.015,-0.329,5.938,-0.010,0.032,-0.017,0.999,-0.002,-0.010,-0.004,0.660,0.209,-9.890
16,7.987,3.526,-0.404,4.253,-0.009,0.032,-0.017,0.999,-0.607,-0.010,-0.285,4.534,-0.009,0.032,-0.017,0.999,0.001,0.010,0.009,0.648,0.202,-9.811
17,8.489,3.842,-0.417,4.369,-0.010,0.035,-0.016,0.999,-0.620,-0.010,-0.268,4.400,-0.010,0.035,-0.016,0.999,-0.001,0.006,-0.003,0.725,0.205,-9.855
18,9.024,4.190,-0.430,4.480,-0.009,0.035,-0.014,0.999,-0.645,-0.007,-0.253,4.227,-0.009,0.035,-0.014,0.999,0.000,-0.001,0.013,0.711,0.199,-9.774
19,9.491,4.503,-0.440,4.581,-0.009,0.036,-0.010,0.999,-0.657,-0.008,-0.267,4.112,-0.009,0.036,-0.010,0.999,-0.000,0.013,0.024,0.712,0.197,-9.721
20,9.993,4.842,-0.449,4.695,-0.010,0.038,-0.008,0.999,-0.663,-0.012,-0.266,3.977,-0.010,0.038,-0.008,0.999,-0.002,-0.003,-0.003,0.770,0.204,-9.853
21,10.494,5.187,-0.458,4.793,-0.010,0.034,-0.008,0.999,-0.674,-0.009,-0.241,3.914,-0.010,0.034,-0.008,0.999,0.000,-0.039,-0.003,0.696,0.201,-9.842
22,11.029,5.563,-0.466,4.882,-0.010,0.022,-0.009,1.000,-0.700,-0.006,-0.195,3.865,-0.010,0.022,-0.009,1.000,0.000,-0.035,-0.003,0.456,0.200,-9.838
23,11.530,5.923,-0.473,4.957,-0.010,0.020,-0.009,1.000,-0.717,-0.004,-0.175,3.856,-0.010,0.020,-0.009,1.000,0.000,0.020,0.004,0.416,0.199,-9.803
