step_idx,timestamp,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w,dvl_vel_x,dvl_vel_y,dvl_vel_z,dvl_alt,imu_orient_x,imu_orient_y,imu_orient_z,imu_orient_w,imu_gyro_x,imu_gyro_y,imu_gyro_z,imu_accel_x,imu_accel_y,imu_accel_z
0,0.000,0.005,0.001,4.725,-0.000,0.001,-0.000,1.000,0.000,0.000,0.000,-1.000,-0.000,0.001,-0.000,1.000,-0.000,-0.000,-0.000,0.022,0.005,-9.810
1,0.802,0.005,0.001,4.816,-0.000,0.001,-0.000,1.000,0.000,0.000,0.000,-1.000,-0.000,0.001,-0.000,1.000,-0.000,0.000,-0.000,0.022,0.005,-9.810
2,1.537,0.098,-0.001,4.899,-0.012,0.010,-0.001,1.000,0.000,0.000,0.000,-1.000,-0.012,0.010,-0.001,1.000,0.059,0.039,0.001,0.514,0.243,-9.804
3,2.674,0.541,0.014,5.320,-0.008,-0.019,0.055,0.998,0.000,0.000,0.000,-1.000,-0.008,-0.019,0.055,0.998,0.006,-0.024,0.084,-0.355,0.210,-9.589
4,3.843,1.018,0.066,6.043,-0.007,-0.013,0.100,0.995,0.000,0.000,0.000,-1.000,-0.007,-0.013,0.100,0.995,0.001,0.004,0.073,-0.268,0.202,-9.779
5,4.979,1.432,0.150,6.794,-0.007,-0.015,0.143,0.990,0.000,0.000,0.000,-1.000,-0.007,-0.015,0.143,0.990,0.002,-0.005,0.077,-0.293,0.207,-9.804
6,6.149,1.821,0.267,7.568,-0.006,-0.016,0.186,0.982,0.000,0.000,0.000,-1.000,-0.006,-0.016,0.186,0.982,0.002,-0.002,0.076,-0.299,0.206,-9.808
7,7.286,2.170,0.410,8.314,-0.006,-0.016,0.229,0.973,0.000,0.000,0.000,-1.000,-0.006,-0.016,0.229,0.973,0.002,-0.002,0.077,-0.297,0.206,-9.808
8,8.455,2.506,0.583,9.076,-0.005,-0.017,0.273,0.962,0.000,0.000,0.000,-1.000,-0.005,-0.017,0.273,0.962,0.002,-0.002,0.079,-0.297,0.207,-9.808
9,9.257,2.721,0.718,9.594,-0.004,-0.017,0.303,0.953,0.000,0.000,0.000,-1.000,-0.004,-0.017,0.303,0.953,0.002,-0.002,0.080,-0.297,0.208,-9.808
